汉语原文	人工翻译结果
与西方人习惯的工作文化相比，日本人的工作文化中等级制度更明显，更加正式。	ནུབ་ཕྱོགས་པའི་གོམས་གཤིས་ཀྱི་ལས་ཀའི་རིག་གནས་དང་བསྡུར་ན་རི་པིན་བའི་ལས་ཀའི་རིག་གནས་ཁྲོད་ཀྱི་རིམ་པ་དེ་བས་མངོན་གསལ་དོད་པ་དང་དེ་བས་དངོས་གཞི་རེད།
一年内，一个感染者可能会感染 10 至 15 名密切接触者。	ལོ་གཅིག་གི་ནང་དུ་འགོས་ནད་ཅན་ཞིག་གིས་ཉེ་བཅར་མི་སྣ་10ནས་15བར་ནད་འགོ་སྲིད།
西装是标准的商务着装，同事们用彼此的姓氏或职称来互相称呼。	ནུབ་ལྭ་ནི་ཚད་ལྡན་གྱི་ཚོང་ལས་གྱོན་ཆས་ཡིན། ལས་གྲོགས་རྣམས་ཀྱིས་ཕན་ཚུན་གྱི་རུས་མིང་ངམ་ཡང་ན་ལས་ཀའི་གོ་མིང་ལ་བརྟེན་ནས་ཕན་ཚུན་འབོད་ཀྱི་ཡོད།
和谐的职场氛围至关重要，强调团队的努力，而不是表扬个人成就。	འཆམ་མཐུན་གྱི་ལས་ཀའི་ཁོར་ཡུག་ནི་ཧ་ཅང་གལ་འགངས་ཆེ་བ་ཞིག་ཡིན།ཚོགས་པའི་འབད་བརྩོན་ནན་བཤད་བྱེད་པ་ལས་མི་སྒེར་གྱི་གྲུབ་འབྲས་ལ་གཟེངས་བསྟོད་བྱེད་པ་མིན།
员工在做任何决定时都必须得到上级的批准，并需要无条件服从上级的指示。	ལས་མི་རྣམས་ཀྱིས་ཐག་གཅོད་བྱེད་སྐབས་ངེས་པར་དུ་གོང་རིམ་གྱི་ཆོག་མཆན་ཐོབ་དགོས་པར་མ་ཟད།  ཆ་རྐྱེན་གང་ཡང་མེད་པར་གོང་རིམ་གྱི་མཛུབ་སྟོན་ལ་བརྩི་སྲུང་བྱེད་དགོས།
然而，广泛耐药结核病在整个结核病患者群体中所占的比例似乎仍然很低；在南非，在任意特定时刻，总计 33 万人中只有 6000 人感染。	ཡིན་ནའང་འདུས་འདྲིལ་གཅོང་ནད་ཀྱིས་འདུས་འདྲིལ་གཅོང་ནད་ཀྱི་ཚོགས་སྤྱི་ཡོངས་ཁྲོད་བཟུང་བའི་བསྡུར་ཚད་སྔར་བཞིན་ཧ་ཅང་དམའ་པོ་ཡིན་པ་དང་ལྷོ་ཨ་ཧྥེ་རི་ཁའི་དམིགས་བསལ་དུས་སྐབས་སུ་ཁྱོན་མི་ཁྲི་33ཁྲོད་མི་6000ལ་མ་གཏོགས་འགོས་མེད།
这两颗都超过 1,000 磅的卫星以每小时 17,500 英里的速度飞行，在距离地球 491 英里的上空相撞。	ལྗིད་ཚད་པང་1000ཡོད་པའི་འཁོར་སྐར་གཉིས་དུས་ཚོད་རེར་འགྲོས་ཚད་དབྱིན་ལེ་17500སྒོ་ནས་སའི་གོ་ལ་དང་བར་ཐག་དབྱིན་ལེ་491ཡོད་པའི་བར་སྣང་དུ་གདོང་ཐུག་རྒྱག་སྲིད།
科学家表示，这次碰撞引起的爆炸规模巨大。	ཚན་རིག་པས་བརྗོད་ན་ཐེངས་འདིའི་གདོང་གཏུག་ལས་བྱུང་བའི་འབར་གས་ཀྱི་གཞི་ཁྱོན་ཧ་ཅང་ཆེ།
他们仍在努力确定这次撞击的规模以及对地球的影响。	ཁོ་ཚོས་ད་དུང་ཧུར་བརྩོན་གྱིས་ཐེངས་འདིར་རྡེབ་པའི་གཞི་ཁྱོན་དང་སའི་གོ་ལར་ཐེབས་པའི་ཤུགས་རྐྱེན་གཏན་ཁེལ་བྱེད་ཀྱི་ཡོད།
美国国防部战略司令部正在追踪残骸。	ཨ་རིའི་རྒྱལ་སྲུང་པུའི་འཐབ་ཇུས་སི་ལིང་པུའུ་ཡིས་ཆག་རོ་རྩད་གཅོད་བྱེད་བཞིན་ཡོད།
绘图分析的结果将发布在公网上。	རི་མོ་འབྲི་བར་དབྱེ་ཞིབ་བྱས་པའི་མཇུག་འབྲས་སྤྱི་དྲའི་སྟེང་དུ་ཁྱབ་བསྒྲགས་བྱེད་རྒྱུ་རེད།
俄亥俄州当局表示，因星期三于一名医生的汽车后备箱中发现其母尸体，这位在宾夕法尼亚州匹兹堡儿童医院工作的医生将面临情节严重的谋杀罪指控。	ཨེ་ཧའེ་ཨེ་ཀྲོའུ་ཡི་དབང་འཛིན་ལས་ཁུངས་ཀྱིས་གཟའ་ལྷག་པར་སྨན་པ་ཞིག་གི་རླངས་འཁོར་གྱི་རྗེས་གྲབས་སྒམ་ནང་ནས་ཁོང་གི་བེམ་པོ་རྙེད་སྟབས་པིན་ཤིས་ཧྥ་ཉི་ཡ་ཀྲོའུ་ཕི་ཙི་པའོ་བྱིས་པའི་སྨན་ཁང་དུ་ལས་ཀ་བྱེད་བཞིན་པའི་སྨན་པ་དེར་ཉེས་ཚབས་ཆེ་བའི་མི་བསད་པའི་ཉེས་པ་བསགས་པ་ཞུ་གཏུག་རྒྱག་རྒྱུ་ཡིན་ཞེས་བཤད་པ་རེད།
29 岁的 Malar Balasubramanian 医生在俄亥俄州辛辛那提市以北约 15 英里的郊区布鲁艾施被发现，她被找到时身穿 T 恤衫和内裤，躺在路边的地上，看上去服用了大量药物。	ལོ་29ལ་སླེབས་པའི་སྨན་པ་Malar Balasubramanianཡིས་ཨེ་ཧའེ་ཨེ་ཀྲོའུ་ཡི་ཤིན་ཤིན་ན་ཐེ་གྲོང་ཁྱེར་དུ་བྱང་ཆིངས་རྩ་འཛུགས་ཀྱི་དབྱིན་ལེ་15ཡི་གྲོང་འདབས་ཀྱི་པུ་ལུ་ཨའེ་ཧྲི་རྙེད་པ་དང་།ཁོང་སྐབས་དེར་སྟོད་གོས་དང་གསང་དོར་གྱོན་ནས་ལམ་འགྲམ་གྱི་ས་ཐོག་ཏུ་ཉལ་འདུག་པས་དེར་བལྟས་ཚེ་སྨན་རྫས་འབོར་ཆེན་འཐུང་བ་རེད།
虽然有一种实验性疫苗看似能够降低埃博拉病毒的死亡率，但迄今为止，还没明确证明任何药物适合治疗现有的感染。	མ་གཞི་ཚོད་ལྟ་རང་བཞིན་གྱི་རིམས་འགོག་སྨན་ཁབ་ཅིག་ཡོད་པ་དེས་ཨའེ་པོ་ལ་ནད་དུག་ཕོག་པའི་འཆི་ཚད་དམའ་རུ་གཏོང་ཐུབ་མོད། འོན་ཀྱང་ད་བར་སྨན་རྫས་གང་རུང་ཞིག་གིས་ད་ཡོད་འགོས་ནད་ལ་སྨན་བཅོས་བྱ་རྒྱུར་འཚམ་པའི་ར་སྤྲོད་གསལ་པོ་བྱུང་མེད།
她向军官们指示往她的黑色奥兹莫比尔“激情”轿车查看，这辆车停在 500 英尺远的地方。	ཁོ་མོས་དམག་དཔོན་ཚོར་ཁོ་མོའི་མདོག་ནག་པོའི་ཨའོ་ཙི་མོ་པི་ཨར་ལ“སྤྲོ་སེམས”རྟགས་ཅན་གྱི་མི་བཞུགས་རླངས་འཁོར་ལ་གཟིགས་པ་དང་། རླངས་འཁོར་དེ་དབྱིང་ཁྲེ་500ཡོད་པའི་སར་སྡོད་རྒྱུའི་མཛུབ་སྟོན་གནང་བ་རེད།
在那里，他们发现了 53 岁的萨罗贾·巴拉苏布拉曼尼亚的尸体，盖着血迹斑斑的毯子。	དེ་གར་ཁོང་ཚོས་ལོ་53ལ་སླེབས་པའི་ས་ལུའོ་ཅ·པ་ལ་སུའུ་པུའུ་ལ་མན་ཉི་ཡའི་ཕུང་པོ་རྙེད་པ་དང་དེར་ཁྲག་རྗེས་ཁྲ་ཆིལ་ལེར་ཡོད་པའི་ཉལ་གདན་བཀབ་ཡོད།
警方说，尸体看上去在那里放了一天左右。	ཉེན་རྟོག་པས་བཤད་རྒྱུར།  བེམ་པོ་དེ་ལ་བལྟས་ན་ཉིན་གཅིག་ཡས་མས་སུ་བཞག་ཡོད་ཟེར།
7 月下旬报告了本季节的第一批病例。	ཟླ་བ7་པའི་ཟླ་སྨད་ཀྱི་སྙན་ཞུའི་ནང་དུས་ཚིགས་འདིའི་ནད་ཀྱི་བྱུང་དཔེ་དང་པོ་ཡར་ཞུ་བྱས།
猪携带该疾病，然后通过蚊子传染给人类。	ཕག་གིས་ནད་འདི་ཁྱེར་རྗེས་དུག་སྦྲང་བརྒྱུད་མིའི་རིགས་ལ་འགོས་པ་རེད།
这场疫情促使印度政府采取一些措施，比如在严重感染地区放置捕猪器、派发数千个蚊帐并喷洒杀虫剂。	རིམས་ནད་དེས་རྒྱ་གར་སྲིད་གཞུང་གིས་བྱ་ཐབས་ཁག་གཅིག་སྤྱོད་རྒྱུར་སྐུལ་མ་ཐེབས་ཡོད་པ་དཔེར་ན།འགོ་ནད་ཚབས་ཆེན་ཕོག་ཁུལ་དུ་ཕག་པ་འཛིན་ཆས་འཇོག་པ་དང་དུག་སྦྲང་གུར་སྟོང་ཕྲག་ཁ་ཤས་བེད་སྤྱད་དེ་དུག་སྦྲང་གསོད་ཆས་ཀྱིས་གསོད་བཞིན་མཆིས།
政府还承诺提供数百万剂脑炎疫苗，这将有助于医疗机构为明年做好准备。	སྲིད་གཞུང་གིས་ད་དུང་སྨན་རྫས་ཁྲི་ཕྲག་གི་ཀླད་པའི་གཉན་ཚད་ཀྱི་རིམས་འགོག་སྨན་ཁབ་འདོན་སྤྲོད་བྱེད་རྒྱུ་ཁས་བླངས་པ་དེས་སྨན་བཅོས་ལས་ཁུངས་ཀྱིས་སང་ལོར་གྲ་སྒྲིག་ཡག་པོ་བྱ་རྒྱུར་ཕན་ཐོགས་ཡོད།
由于缺乏资金，且与其他疾病相比优先级较低，今年向历史上疫情最严重的地区提供疫苗的计划被推迟了。	མ་དངུལ་མི་འདང་བའི་ཁར་ནད་རིགས་གཞན་དག་དང་བསྡུར་ན་སྔོན་ཐོབ་རིམ་པ་ཅུང་དམའ་བ་དང་།འདི་ལོ་ལོ་རྒྱུས་ཐོག་གི་རིམས་ནད་ཚབས་ཆེ་ཤོས་ཀྱི་ས་ཁུལ་ལ་རིམས་འགོག་སྨན་ཁབ་མཁོ་འདོན་བྱེད་པའི་འཆར་གཞི་ནར་འགྱངས་བྱས་པ་རེད།
1956 年，斯拉尼亚（Słania）搬到了瑞典。三年后他开始在瑞典邮局上班，成为首席邮票雕刻师。	1956་ལོར་སི་ལ་ཉི་ཡ（Słania）སུའེ་ཏེན་དུ་སྤོས། ལོ་གསུམ་གྱི་རྗེས་སུ་ཁོང་གིས་སུའེ་ཏེན་གྱི་སྦྲག་སྲིད་ཅུས་སུ་ལས་ཀ་བྱེད་འགོ་བཙུགས་ནས། དབུ་བཞུགས་སྦྲག་རྟགས་རྐོ་དཀྲོལ་དགེ་རྒན་ཞིག་ཏུ་གྱུར།
他曾为瑞典和其他 28 个国家/地区制作过 1000 多版邮票。	ཁོང་གིས་དེ་སྔ་སུའེ་ཏེན་དང་རྒྱལ་ཁབ་དང་ས་ཁུལ་གཞན་དག་28ལ་སྦྲག་རྟགས་1000ལྷག་ཙམ་བཟོ་མྱོང་ཡོད།
一种名为 ZMapp 的“抗体鸡尾酒”（多抗体联合）最初有望在该领域发挥作用，但正式研究表明，它在预防死亡方面的效果有些不尽人意。	མིང་ལZmappརྟགས་ཅན་གྱི་འགོག་གཟུགས་ཆང་སྣ་འདྲེས་མ（འགོག་གཟུགས་མང་བའི་མཉམ་འབྲེལ）ཞེས་པ་དེས་ཐོག་མར་ཁྱབ་ཁོངས་དེའི་ནང་ནུས་པ་འདོན་ཐུབ་རེ་ཡོད་མོད།  འོན་ཀྱང་དངོས་སུ་ཞིབ་འཇུག་བྱས་པ་ལྟར་ན།  དེ་ནི་འཆི་བ་སྔོན་འགོག་བྱེད་པའི་ཐད་ཀྱི་ཕན་འབྲས་ནི་མིའི་འདོད་བློ་དང་མི་མཐུན་པ་ཞིག་ཡིན་པ་མཚོན་ཡོད།
他的作品极具辨识度，拥有高质量和丰富的细节，这也使得他成为了极少数在集邮人士中“家喻户晓”的人物之一。有些人专门收集他的作品。	ཁོང་གི་བརྩམས་ཆོས་ནི་སྤུས་ཚད་དང་བརྒྱུད་རིམ་ཞིབ་ཕྲས་ཕྱུག་པའི་ཕྱིར་ན་གཞན་དང་མི་འདྲ་བའི་ཁྱད་ཆོས་ལྡན། དེ་བས་འདི་ཡི་རྐྱེན་པས་ཁོང་ལ་སྦྲག་ཡིག་བསྐུར་མཁན་ལ་ཤས་ཀྱི་ཁྲོད་དུ“ཀུན་ལ་རྒྱུས་མངའ་ཡོད་པའི་མི་”རུ་གྱུར་ཡོད། ཡང་མི་ལ་ལས་ཆེད་དུ་ཁོའི་བརྩམས་ཆོས་བསྡུ་གསོག་བྱེད་བཞིན་ཡོད།
“他在 2000 年制作的第 1000 张邮票取材自大卫·克洛克·埃伦斯特拉尔的名画《瑞典国王的伟大功绩》，并因此入选《吉尼斯世界纪录大全》。”	“ཁོང་གིས་2000ལོར་བྲིས་པའི་སྦྲག་འཛིན་1000གི་རྒྱུ་ཆ་དེ་ཏ་ཝུའེ་ཁེ་ལོ་ཁེ་ཨེ་ལུན་སི་ཐེ་ལར་གྱི《སུའེ་ཏེན་རྒྱལ་པོའི་རླབས་ཆེའི་བྱས་རྗེས》ནས་བླངས་པ་དང་སྦྲགས《ཅི་ཉི་སིའི་འཛམ་གླིང་གི་ཟིན་ཐོ་ཀུན་བཏུས》ཞེས་པའི་ནང་བདམས་པ་རེད།
他还参与了许多国家的纸币雕版制作，近期作品包括加拿大新版 5 元和 100 元纸币正面的总理肖像。	ཁོང་གིས་ད་དུང་རྒྱལ་ཁབ་མང་པོ་ཞིག་གི་ཤོག་སྒོར་བརྐོས་མ་བཟོ་བར་ཞུགས། ཉེ་དུས་ཀྱི་བརྩམས་ཆོས་ནང་ཁ་ན་ཏའི་པར་གཞི་གསར་པའི་སྒོར་5་དང་ཤོག་སྒོར་100་ཡི་མདུན་ངོས་ཀྱི་ཙུང་ལིའི་སྐུ་པར་ཚུད་ཡོད།
事故发生后，吉布森被送往医院，但很快就一命呜呼。	དོན་རྐྱེན་བྱུང་རྗེས།  ཅི་པུའུ་སིན་སྨན་ཁང་དུ་བསྐྱལ་བ་རེད།  འོན་ཀྱང་མྱུར་བར་སྲོག་ཀྱང་ཤོར་བ་རེད།
这位 64 岁的卡车司机在车祸中没有受伤。	ལོ་64་སླེབས་པའི་རླངས་འཁོར་ཁ་ལོ་བ་འདི་རླངས་འཁོར་དོན་རྐྱེན་ཁྲོད་རྨས་ཕོག་མེད།
当天，格林尼治时间 (GMT) 约 12 时许，该车辆被拖离事故现场。	དེ་ཉིན་ཀེ་ལིན་ཉི་ཀྲིའི་དུས་ཚོད（GMT）ཆུ་ཚོད་12ཙམ་ལ་རླངས་འཁོར་དེ་ལས་འཛོལ་ཐོན་ཡུལ་ནས་དྲུད་ཡོད།
一名在事故发生地附近的车库立的工作人员说：“孩子们正等着过马路，并且都在大声尖叫，哭个不停。”	དོན་རྐྱེན་བྱུང་སའི་ཉེ་འགྲམ་གྱི་རླངས་འཁོར་འཇོག་ཁང་ནང་བཙུགས་པའི་ལས་དོན་མི་སྣ་ཞིག་གིས“ཕྲུ་གུ་ཚོས་གཞུང་ལམ་སྒྲོལ་རྒྱུར་སྒུག་ཡོད་པ་མ་ཟད།སྐད་མཐོན་པོས་སྐད་ཅོར་བརྒྱབ་ནས་ངུ་མཚམས་མི་འཇོག་པ་བྱེད་ཀྱིན་ཡོད།“ཞེས་ཟེར།
他们都从事故发生的地方跑了回来。	ཁོ་ཚོ་ཚང་མ་དོན་རྐྱེན་བྱུང་བའི་ས་ནས་ཕྱིར་བྲོས་ཡོང་བ་རེད།
巴厘岛会议议程中的其他议题还包括拯救世界上现存的森林，分享技术以帮助发展中国家以污染较少的方式发展。	པ་ལི་གླིང་ཕྲན་གྱི་ཚོགས་འདུའི་གྲོས་རིམ་ཁྲོད་ཀྱི་གྲོས་གཞི་གཞན་དག་ནང་ད་དུང་འཛམ་གླིང་ཐོག་གི་ད་ཡོད་ནགས་ཚལ་སྐྱོབ་རྒྱུ་དང་། ལག་རྩལ་མཉམ་སྤྱོད་བྱས་ནས་འཕེལ་རྒྱས་འགྲོ་བཞིན་པའི་རྒྱལ་ཁབ་ལ་སྦགས་བཙོག་ཅུང་ཉུང་བའི་རྣམ་པའི་ཐོག་ནས་འཕེལ་རྒྱས་གཏོང་རོགས་བྱ་རྒྱུ་ཚུད་ཡོད།
联合国还希望最终成立一项基金，帮助有关国家应对全球变暖的影响。	མཉམ་འབྲེལ་རྒྱལ་ཚོགས་ཀྱིས་ད་དུང་མཇུག་མཐར་ཐེབས་རྩ་ཞིག་བཙུགས་ནས་འབྲེལ་ཡོད་རྒྱལ་ཁབ་ཀྱིས་སའི་གོ་ལ་ཧྲིལ་པོར་འགྱུར་བའི་ཤུགས་རྐྱེན་ལ་རོགས་རམ་བྱ་རྒྱུའི་རེ་བ་བྱེད་ཀྱི་ཡོད།
在 PALM 实验中，ZMapp 用作参照。也就是科学家将其作为基线，把其他三种治疗方法与之作比较。	PALMཚོད་ལྟའི་ཁྲོད།ZMappནི་དཔྱད་གཞིར་འཛིན་པ་ཡིན། དེ་ཡང་ཚན་རིག་པས་དེ་གཞི་ཐིག་ཏུ་བརྩིས་ནས་སྨན་བཅོས་བྱེད་ཐབས་གཞན་པ་གསུམ་དང་ཞིབ་བསྡུར་བྱེད་པ་རེད།
这些资金可以用于建造防洪房屋、改善水资源管理以及促进农作物多样化。	མ་དངུལ་དེ་དག་ཆུ་ལོག་འགོག་པའི་ཁང་པ་རྒྱག་པ་དང་ཆུའི་ཐོན་ཁུངས་དོ་དམ་ལེགས་བཅོས་དང་དེ་བཞིན་ཞིང་ལས་སྐྱེ་དངོས་སྣ་མང་ཅན་དུ་འགྱུར་བར་སྐུལ་འདེད་གཏོང་རྒྱུའི་ཐད་སྤྱད་ཆོག
福禄克写道，一些人试图压制女性对女性健康问题的呼声，但天不遂人愿。	ཧྥུ་ལུའུ་ཁེས་བྲིས་དོན། མི་ཁ་ཤས་ཀྱིས་བུད་མེད་ཀྱིས་བུད་མེད་ཀྱི་བདེ་ཐང་གནད་དོན་གྱི་འབོད་སྒྲ་ལ་འགོག་གནོན་བྱེད་རྩིས་བྱས་མོད། འོན་ཀྱང་གནམ་གྱིས་མི་རྣམས་ཀྱི་འདོད་པ་སྐོང་མི་ཐུབ།
她之所以得出这个结论，是因为有许多男女个人发给她积极评价和鼓励，竭力主张将避孕药视为医疗必需品。	ཁོང་ལ་བསྡོམས་ཚིག་དེ་ཐོབ་པའི་རྒྱུ་མཚན་ནི་སྐྱེས་པ་དང་བུད་མེད་མང་པོ་ཞིག་གིས་ཁོང་ལ་གདེང་འཇོག་དང་ལྕག་སྐུལ་ཧུར་ཐག་བྱས་ནས་སྦྲུམ་འགོག་སྨན་དེ་སྨན་བཅོས་ཉེར་མཁོའི་དངོས་རྫས་སུ་བརྩི་རྒྱུའི་འདོད་ཚུལ་འཛིན་གྱི་ཡོད་པས་རེད།
伤员被送往医院后，打斗平息下来，剩下的约 40 名囚犯留在院子里，拒绝回牢房。	རྨས་མ་སྨན་ཁང་དུ་བསྐྱལ་རྗེས་འཛིང་རེས་བྱས་ནས་ཞི་འཇགས་སུ་བཏང་བ་དང་།ལྷག་པའི་བཙོན་པ་40ཙམ་སྒོ་རའི་ནང་དུ་བསྡད་དེ་བཙོན་ཁང་དུ་ལོག་རྒྱུ་དང་ལེན་མ་བྱས།
谈判人员试图扭转局面，但囚犯的要求并不明确。	གྲོས་མོལ་མི་སྣས་རྣམ་པ་བསྒྱུར་རྩིས་བྱས་མོད། འོན་ཀྱང་བཙོན་པའི་རེ་བ་གསལ་བོ་མིན།
山区夏令时晚上 10 点到 11 点之间，院子里的犯人们引发了一场火灾。	རི་ཁུལ་གྱི་དབྱར་ཁའི་དུས་ཚོད་ནི་དགོང་མོའི་ཆུ་ཚོད་10ནས་11བར་ཡིན་པ་དང་སྒོ་རའི་ནང་གི་བཙོན་པ་རྣམས་ལ་མེ་སྐྱོན་ཞིག་བྱུང་།
很快，配备了防暴装备的警察进入了院子，并用催泪瓦斯把囚犯逼得走投无路。	མགྱོགས་མྱུར་ངང་གཏུམ་འགོག་སྒྲིག་ཆས་སྒྲིག་སྦྱོར་བྱས་པའི་ཉེན་རྟོག་པ་སྒོ་རའི་ནང་འཛུལ་བ་དང་འབྲེལ་མཆི་མ་དབང་མེད་དུ་ཤོར་ནས་ཝོ་སིས་བཙོན་པ་འགྲོ་ས་མེད་པར་བཏང་བ་རེད།
消防救援人员最终在晚上 11 点 35 分扑灭了大火。	མེ་གསོད་མེ་འགོག་གི་རོགས་སྐྱོབ་མི་སྣས་མཇུག་མཐར་དགོང་མོའི་ཆུ་ཚོད་11་དང་སྐར་མ་35་ལ་མེ་ཆེན་པོ་བསད་པ་རེད།
1963 年大坝建成后，季节性洪水被控制住了，沉积物不再冲散到河流里。	1963་ལོར་རགས་ཆེན་བསྐྲུན་རྗེས། དུས་ཚིགས་རང་བཞིན་གྱི་ཆུ་ལོག་ཚོད་འཛིན་བྱེད་ཐུབ་སོང་། དིམ་བསགས་དངོས་པོ་ཆུ་བོའི་ནང་དུ་མི་འཐོར་བ་རེད།
